S.no,Name,Adress,Phone,Fax,Email
367,Lions Vision Blood Bank,"D.No. 12-17-31, 1st Floor, Somuvari Street, Near Bose Statue, Kothapet, Guntur, Andhra Pradesh",0863 233 6198 ,-  ,lionsvisionbloodbank@gmail.com
368,Sree Gokulam Medical College & Research Foundation,"Aalamthara - Bhoothamadakki Road, Venjaramoodu, Venjaramoodu, Thiruvananthapuram, Kerala","0472-2815000, 0472-3041234, 0472-3041000 ",-  ,sgmc@sgmc.in
369,"S.S.G HOSPITAL, VADODARA","Blood Bank, The Govt. Medical College and S.S.G. Hospital,, Vadodara, Vadodara, Gujarat","98242 75361, 7984763987, 0265-2424848  ",-  ,bloodbankssgh@yahoo.com
370,"Government Hospital, Ambur","Nethaji Rd, Flower bazar, Ambur, Ambur, Vellore, Tamil Nadu",9994574455 ,-  ,amburictc@gmail.com
371,"Ashirwad Medical Foundations GSK Blood Bank & Components, Nagpur","Plot No.1, Manoj Building, 1st floor, Besides Gurudwara, Central Bazaar Road, Ramdaspeth, , Nagpur, Nagpur, Nagpur, Maharashtra","9322041459,0712-2420024 ",-  ,gskbloodbank@gmail.com
372,"Government Aringnar Anna Memorial Cancer Hospital, ","Government Aringnar Anna Memorial Cancer Hospital, , Chennai Bangalore Highway NH 4, KANCHIPURAM, kanchipuram, Kanchipuram, Tamil Nadu",9087355579 ,-  ,-
373,M/s. Nandgaon Blood Bank,"First Floor, Above Bank of aharashtra,Power House Road, Math Para Rajnandgaon, Rajnandgaon, Rajnandgaon, Chhattisgarh",7828455576 ,-  ,nandgaon.bloodbank@gmai.com
374,"Blood Bank, Jai Prakash Narayan Apex Truma Centre, AIIMS","Raj Nagar,  New Delhi, South, Delhi",26731166 ,-  ,jpnatcaiims2011@gmail.com
375,Lions Jeewan Blood Bank Patna,"c/o Jeevak Heart Hospital & Research Institute , Pvt. Ltd, D-6 Doctor's Colony, Kankarbagh, Patna, Patna, Bihar","9431020205,9334112332,8809147888 ",-  ,info@jeevakhospital.com
376,"Government Medical College Hospital,Sivagangai","Government Medical College Hospital,Sivagangai, Melavaniyankudi, Sivaganga, Tamil Nadu 630561, Sivaganga, Sivaganga, Tamil Nadu",8940579653 ,-  ,-
377,"Indu Voluntary Blood Bank, Anand","Indu Voluntary Blood Bank managed by Charotar Health Research Foundation Trust,  3rd Floor, Jems Plaza, Near D. N. High School, Station Road,, Anand, Anand, Gujarat","9979860884, 9824436524 ",-  ,indu99email@gmail.com
378,Tamilnadu Dr. MGR University Chennai,"The Tamil Nadu Dr. M.G.R. Medical University, 69, Anna Salai, Rd, Guindy, Chennai, Chennai, Tamil Nadu","9788788069, 044-22353546 ",-  ,tnmgrmubloodbank@gmail.com
379,"Blood Bank ANMMCH,  Gaya","Blood Bank, ANMMCH Gaya, Gaya, Gaya, Bihar",9934986838 ,-  ,moicbloodbankanmmchgaya@gmail.com
380,Global Hospitals Blood Bank,"Dept.of Transfusion Medicine Gleneagles Global Hospitals 6-1-1070/1 to 4, Lakdikapul, Hyderabad, Hyderabad, Telangana",9848323538 ,-  ,dr.surekhadevi@gmail.com
381,Rotary Blood Bank,"18, Mahesh Society, Gopalwadi Road, Daund, Dist. Pune, Pune, Pune, Maharashtra",7756873333 ,-  , rotarybloodbank2017@gmail.com
382,Ishwar Seva Trusts Dombivali Blood Center,"PTS No.7559, HIssa No.14P, Basement Pushpdeo apt, near sarvesh hall, opp manav kalyan kendra Dombivali East, Dombivli, Thane, Maharashtra",9223300850 ,-  ,dhankrish03@gmail.com
383,Rashtrotthana Blood Bank,"93/2 Keshava Shilpa Ist Mn Rd Kempegowda Nagar, Bangalore, Bengalore Urban, Karnataka","9480436702,8026610916 ",-  ,rbloodbank@gmail.com
384,Life Care Charitable Blood Bank,"Life Care Charitable Blood Bank, Basement Narayani Hospital, Atroli Bus Stand, Ramghat Road, Aligarh, Aligarh, Aligarh, Uttar Pradesh",9758444999 ,-  ,lifecarecharitablebank11@gmail.com
385,"Grassim Hospital & Blood Bank, Ujjain","Birlagram Nagda, , Nagda, Ujjain, Madhya Pradesh",07366 247200 ,-  ,-
386,"Blood Bank Trauma Center, SMS Hospital, Jaipur","Sawai Man Singh Road, SMS Hospital, Jaipur, JAIPUR, Jaipur, Rajasthan",09602253333 ,-  ,bloodbanktrauma@gmail.com
387,Columbia asia hospitall blood bank,"SY.NO. 10P AND 12P, RAMAGONDANAHALLI,,VARTHUR HOBLI,Bangalore, Bengalore Urban, Bengalore Urban, Karnataka","9611150241,080-61656666 ",-  ,bloodbank.sup@columbiaasia.com
388,Manipal Hospital Transfusion Services,"98,Rustom Bagh,HAL Airport Road, Bangalore, Bangalore, Bengalore Urban, Karnataka","9845375432,08025024224 ",080-25254563  ,Shivaram@manipalhospitals.com
389,"Goa Medical College, Blood Centre","Bambolim, Tiswadi Goa, Bambolim, North Goa, Goa",08322458724 ,-  ,bloodbankgmc@gmail.com
390,APVVP NT Rama Rao Vaidyalayam Blood Bank,"Poolbagh Road, Anakapalli, Visakhapatnam, Visakhapatnam, Andhra Pradesh",9491817042 ,-  ,bloodbank.ahakp@gmail.com
391,"Government Hospital, Attur","Government Hospital, Attur, Attur, Salem, Tamil Nadu",NA ,-  ,-
392,Blood Bank District Hospital,"District Hospital, Sitapur, Sitapur, Sitapur, Uttar Pradesh","8004942069, 9450022526 ",-  ,bloodbanksitapur@gmail.com
393,Chiranjeevi Eye and Blood Bank,"8-2-293/82/A/CEBB, Road No.1, Jubilee Hills, Near Check Post, Hyderabad, Hyderabad, Telangana",NA ,-  ,-
394,Singareni Collieries Company limited,"Area Hospital, Bhupalpalli, Jayashankar District, Bhupalpally, Jayashankar Bhoopalpally, Telangana",9491144793 ,-  ,med_bhp@scclmines.com
395,"Mahatma Gandhi Blood Bank,  Operated by TASK","1st Fr. Satyam Apartment, Jeevan Jyot Hospital, Near Naupada Police Station,, Thane, Thane, Maharashtra"," 9892523533, 022-25380787 / 25411773 ",-  , vaidya_bloodbank@rediffmail.com
396,Ayush Blood Bank & Component Lab Ramdaspeth Nagpur,"Lokmat Bhawan, 9th, Floor, A-Wing Ramdaspeth,, Nagpur, Nagpur, Maharashtra","9822471219,0712-5618666 / 5618777 ",0712-5631137  ,ayush_bbc@rediffmail.com
397,Blood Bank Aakash Healthcare Pvt Ltd,"Road no 201, Dwarka sector 3, Hospital Plot, , Delhi, South West, Delhi",8800015924 ,-  ,tmbloodbank@aakashhealthcare.com
398,BHARATH HOSPITAL BLOOD BANK," M/s. Bharath llospital Blood Bank, XV/313 C, V 'Floor, Azad Lane, Kott?rynm Dist., l(erala Strrle, Kottayam, Kerala",9847058270 ,-  ,bharathbloodbank@gmail.com
399,Lifeline Blood Bank Components & Apherisis Centre,"Neeti Gaurav complex , 2nd floor, Central Bazar road, Lokmat Square, Ramdaspeth,, Nagpur, Nagpur, Maharashtra","9823051771,0712-6686666 ",-  ,drwarbhe@rediffmail.com
400,"Government GENARAL Hospital Blood Bank, Mahaboobnagar","GOVERNAMENT GENARAL HOSPITAL, Mahaboobnagar, Mahaboobnagar, Mahbubnagar, Telangana",NA ,-  ,gghbbmbnr@gmail.com
401,"Blood Bank, Fortis Hospital","A- Block, Shalimar Bagh, New Delhi, North West, Delhi",45302222 ,45302211  ,bankim.das@fortishealthcare.com
402,"Government Raja Mirasudhar Hospital,Thanjavur","Government Raja Mirasudhar Hospital,Thanjavur, Hospital Rd, Attar Mohalla, Thanjavur, Tamil Nadu 613001, Thanajavur, Thanjavur, Tamil Nadu",9976512726 ,-  ,-
403,Vishwadhar Blood Bank,"1st floor,Sirur complex,door No28A,Plot No1A/3,A1,Opp HESCOM Office,Old PB Road,Haveri, Haveri, Karnataka",9972233066 ,-  ,vishwadharbb@gmail.com
404,"Blood Bank, Department of Transfusion Medicine, Nehru Hospital,PGIMER ","PGIMER, Sector 12, Chandigarh, Chandigarh, Chandigarh, Chandigarh",02020358448 ,0172 2744401  ,transfusionmed63@gmail.com
405,TMC & B.R.Ambedkar Teaching Hospital,"Hapania, Agartala, West Tripura, Hapania, West Tripura, Tripura",9862348264 ,-  ,tmc.agt@gmail.com
406,"Navdeep Blood Bank,  Junagadh","Navdeep Blood Bank,  Sankalp Complex, First Floor,  S.T. Road,opp Dr. Chikkhalia Hospital,, Junagadh, Junagadh, Gujarat","9825366141, 0285-2631127 ",-  ,drnvpatel9@yahoo.in
407,M/s Pimpri Chinchwad Blood Bank,"Mhada commercial complex,2nd floor above dakshin hotelSant Tukaram Nagar, Pimpri,, Pimpri, Pune, Maharashtra",7559419137 ,-  ,bloodbankpc@gmail.com
408,The Uttara Kannada Blood Bank & Health Services Society,"London Mahal, Gujjar Galli, Kumta, Uttara Kannada, Karnataka","9901369298, 8382221851 ",-  ,uk.uttarakannada.bb@gmail.com
409, Apollo Speciality Hospitals,"Blood bank, 2nd floor, apollo speciality hospitals, chennai bypass road, old palpannai, Tiruchirappalli, Tiruchirappalli, Tamil Nadu",8148133020 ,-  ,drsindhuja_k@apollohospitals.com
410,"Mathura Das Mathur Hospital, Jodhpur","Main Road, Sector-C, Shastri Nagar, Jodhpur, Jodhpur, Jodhpur, Rajasthan","2438655,2624300 ",2434052  ,supdt.mdmh.ju@gmail.com
411,"Nukem Blood Bank, Vapi","Nukem Blood Bank & Haria Rotary Hospital,  Plot no. 363A-364, G.I.D.C.,, Vapi, Valsad, Gujarat","7069956050, 9819641652, 0260- 2430654 ",-  ,info@hariarotaryhospital.com
412,"Government Hospital, Udumalpet","Kuttai Thidal, Udumalpet,, Udumalpet, Tiruppur, Tamil Nadu",7904573737 ,-  ,bbghudumalpet15@gmail.com
413,Government Rajaji Hospital,"Panagal Rd, Alwarpuram, , Madurai, Madurai, Tamil Nadu",NA ,-  ,-
414,Dr. Pimparkar Blood Bank,"Najul Shit No. 408, plot no-9/7, Krishna Kripa Building,  M.G.Road, Akola, Akola, Akola, Maharashtra","9420704510, 0724-2438271 ",-  ,drpimparkarbloodbank09@gmail.com
415,Government Rajiv Gandhi Medical College Hospital,"Government Rajiv Gandhi Medical College Hospital, Poonamallee High Rd, Park Town, Chennai, Tamil Nadu 600003, Chennai, Chennai, Tamil Nadu",9381715141 ,-  ,rgghbloodbank@gmail.com
416,"Care Hospital Blood Bank, (Quality Care India Limited)","First Floor, Road No. 1, Banjara Hills, Hyderabad, Hyderabad, Telangana",NA ,-  ,-
417,Holy Cross Hospital,"Holy Cross Hospital, Ambikapur, Ambikapur, Surguja, Chhattisgarh","07774-223 733, 09752823555 ",-  ,hchambikapur@gmail.com
418,ESIC Blood Bank Medical College and Hospital,"NH-3, NIT Faridabad, faridabad, Faridabad, Haryana"," 8700559820 ,    0129-2986762 ",-  ,esicfaridabad@gmail.com
419,"Government W and C Hospital, Kottapparamba","kottaparamba, Kottapparamba, Kozhikode, Kerala","0495-2721998, 0495-2721680 ",-  ,-
420,Bilasa Blood Bank,"old District Hospital Campus, Jamat Para Ward No-24,Rajnandgaon., Rajnandgaon, Rajnandgaon, Chhattisgarh",9826173258 ,-  ,bilasarajnandgaon@gmail.com
421,Yashwantrao Chavan blood bank,"Phase 5, Super market, 1st flor hall no.2/1 final plot no.432,433, shaniwar peth,, Karad, Satara, Maharashtra","9960690605, 9960690601,(02164)228122 ",-  ,sandeepyadav373@gmail.com
422,Star Hospitals Blood Bank Hyderabad,"8-2-596/5, Road Number 10, Gaffar Khan Colony, Banjara Hills, , Hyderabad, Hyderabad, Telangana",7799157788 ,-  ,bloodbank@starhospital.in
423,Blood Bank Sucheta Kriplani Hospital,"Panchkuian Road, Connaught Place, New Delhi, New Delhi, New Delhi, Delhi",23408271 ,-  ,bloodbanklhmc@gmail.com
424,M/s Balasaheb Thackerey Blood Bank,"2nd floor, Hindu Hriday Samrat Balasaheb Thackerey, Traumacare Mumcipal Hospital, near Jay Coach, Western Express Highway, Jogeshwari (E),, Mumbai, Mumbai, Maharashtra",9922901047 ,-  ,gawlivr@yahoo.com
425,Voluntary Amaltas Institute of Medical Sciences Dewas,"Gram Banger, Dewas Ujjain Highway, Dewas, Dewas, Madhya Pradesh","07272426513,08959519141 ",-  ,bloodbankamaltas@gmail.com
426,SDM College of Medical Sciences and Hospital Blood Bank,"First Floor B Wing Building, Sattur, Dharwad, Dharwad, Karnataka",08362477262 ,-  ,bloodbank@sdmmedicalcollege.org
427,Vydehi Institute of Medical Science Hospital,"Vijayanagar, Nallurhalli, Whitefield,EPIP AREA, 06 WHITE FIELD, VIMS & RC,  Bangalore, Bangalore, Bengalore Urban, Karnataka","9886749035,9538318128 ",-  ,bloodbank_palani243@vimsmail.com
428,"Blood Bank, ESIC Hospital and ODC (E.Z.)","Diamond Harbour Road, P.O. Joka, Kolkata, Kolkata, West Bengal",24381631 ,-  ,esicjokabloodbank@gmail.com
429,"Blood Bank, White Cross Blood Bank","A-60, East of Kailash, New Delhi, South, Delhi","26844140, 26831063 ",-  ,-
430,Ram Snehi Chikitsalaya Blood Bank,"Ramsnehi Chikitsalaya and Anusandhan Kendra,, Nehru Road, Bhilwara, Bhilwara, Rajasthan",9461530806 ,-  ,ramsnehi11@gmail.com
431,Samarpit blood bank Mungeli,"infornt of sukhnandan hospital, bilaspur road,dapura Chouck, Mungeli, Mungeli, Chhattisgarh",7000501523 ,-  ,alokdeep007@gmail.com
432,MGM Taluk General Hospital Blood Storage Centre  BSU,"MGM Taluk General Hospital Blood Storage Centre Mudigere,chikmagalur, Chikmagalur, Karnataka",9448666642 ,-  ,mohmudigere@gmail.com
433,"District Hospital, Jalpaiguri","Hospital Para, Jalpaiguri Dist. Hospital, P.O. & Dist - Jalpaiguri , Jalpaiguri, Jalpaiguri, West Bengal","9474720284,9434744480,9933922085 ",-  ,jbb.03561@gmail.com
434,Voluntary Tatpar Blood Bank & Component Centre Bhopal,"10, Neelam Colony, zabait lane, near lily talkies, Bhopal, Bhopal, Madhya Pradesh",0755 2576466 ,07552766566  ,tatparbloodbank@gmail.com
435,DISTRICT HOSPITAL BOODBANK SURAJPUR,"DISTRICT HOSPITAL BOODBANK SURAJPUR, Surajpur, Surjpur, Chhattisgarh",9826757066 ,-  ,-
436,"Central Hospital Blood Bank, Ulhasnagar","Central Hospital Ulhasnagar No.3,Near Sewa Sadan College, Ulhasnagar, , ulhasnagar , Thane, Maharashtra","9987896601, 0251-2708730, 2709432 ",0251-2709434  ,bloodbankulhasnagar@gmail.com
437,Life Line Charitable Blood Bank,"11, Avas Vikas Colony, Betiahata, gorakhpur, Gorakhpur, Gorakhpur, Uttar Pradesh",9935881000 ,-  ,praveen11577@gmail.com
438,M/s. Ramkirshna Care Medical Sciences Pvt Ltd,"Ramkrishna Care Medical Sciences Pvt. Ltd., 4th Floor, Aurobindo Enclave, Pachpedi Naka, Dhamtari Road, Raipur, Raipur, Raipur, Chhattisgarh",9977171050 ,-  ,carebloodbank@gmail.com
439,Jeevandhara charitable blood bank Bulandshahr,"Ground and first floor of 13/656, Civil Lines-18 Near Lalla, Babu Chauraha Bhulandshar, up., Bulandshar, Bulandshahr, Uttar Pradesh",9958390239 ,-  ,bharatw2411@gmail.com
440,Blood Bank Regency Hospital,"Regency Hospital Ltd., A-2, Sarvoday Nagar,, Kanpur, Kanpur Nagar, Uttar Pradesh","0512 (2242201-10), 9919800743,9389476580 ",05122213407  ,avneeshchandra@regencyhealthcare.in
441,Kailash Cancer Hospital,"Blood Bank, Kailash Cancer Hospital & Research Centre, Muni Seva Ashram, Village: Goraj,  Ta. Waghodia,, Vadodara, Vadodara, Gujarat","9727750305, 9913374030, 02668-268048 ",-  ,jay.raj35@yahoo.com
442,Sadbhawna Charitable Blood Bank,"Sadbhawna Charitable Blood Bank, 3 Chandralok Colony,, Mathura, Mathura, Uttar Pradesh",9897529288 ,-  ,Sadbhawnabloodbank@gmail.com
443,"Blood Bank, Fortis Escorts Heart Institute","Okhla, New Delhi, South, Delhi",28625053 ,26825013  ,contactus.escorts@fortishealthcare.com
444,Government Royapettah Hospital,"Westcott Road, Royapettah, Opp YMCA Ground, Chennai, Chennai, Tamil Nadu",NA ,-  ,-
445,"Blood Bank, M.G.M. Hospital, Jamshedpur, East Singhbhum","Blood Bank, M.G.M. Hospital, Jamshedpur, East Singhbhum, Purbi Singhbhum, Purbi Singhbhum, Jharkhand",0657-2230092 ,-  ,jh.bb.mgmmchjsr@gmail.com
446,"Kanchan Medicare & Research Centre Pvt. Ltd., Guna","Lohati Bhawan, A.B.Road,, Opp.Gurudwara, , Guna, Guna, Madhya Pradesh",07542 226720 ,-  ,kmrcguna@gmail.com
447,Samarpan Blood Bank Kunkuri ,"Jashpur Road, Kunkuri, Jashpur, Chhattisgarh",9630909091 ,-  ,yogendratre@gmail.com
448,"Shri Manoharpant Sapate Bahuuddeshiya Samajseva Sansthan Trust's, M/s. Medicare Blood Bank","Plot No.6178/1, Congress Bhavan Compound, Opp. Gurubhet Temple,  Near Zilla Parishad, Siddheshwar Peth, Solapur, Solapur, Solapur, Maharashtra",8983555150 ,-  ,-
449,"Azad Panchi Groups, M/S Sddheshwar Blood Bank, Solapur","Kalyani Tower, 126 siddheshwar Peth, Near Yashodhara Hospital , Near Pangal High School, Behind Civil Court,, Solapur, Solapur, Maharashtra","9422459946,0217-2323222 / 6004222 ",-  ,siddheswarbloodbank@gmail.com
450,All India Institute of Medical Sciences,"Ansari Nagar, Ring Road, New Delhi, South, Delhi",011-26593625 ,-  ,kabitachatterjee@gmail.com
451,"Navi Mumbai Muncipal Corporation, Blood Bank","General Hospital Vashi, Near St.Mery Church Sector-10, Vashi, Navi Mumbai, Thane, Thane, Maharashtra","9324292615 / 9920644868,022-27888750 ",022-27899906  ,nmmcbloodbank@gmail.com
452,Dharwad Blood Bank,"No9925/3,1st Floor, Sukruth Building,opp K C Park, , Main gate P B Road Dharwad, Dharwad, Karnataka",9620973144 ,-  ,Dharwad.blood.bank@gmail.com
453,D B Government Hospital Churu,"Government D.B. Hospital, churu, Churu, Churu, Rajasthan",01562-250332 ,01562-252145  ,bloodbankchuru@gmail.com
454,"Blood Bank, Govt. Multi Speciality Hospital","Room No. 164,Blood Bank,GMSH Sector-16, Room No. 164,Blood Bank,GMSH Sector-16, Chandigarh, Chandigarh, Chandigarh",7837318512 ,-  ,bloodbankgmsh16@gmail.com
455,B.M. Birla Heart Research Centre Blood Bank,"1st floor,1 National Library Avenue, KOLKATA, Kolkata, West Bengal",03330403112 ,-  ,bmbhrc.bloodbank@birlaheart.org
456,Blood Bank District Hospital Unnao,"District Hospital, Unnao, Unnao, Uttar Pradesh","9919767474,0515-2840149,9415133713 ",-  ,bb_unnao@rediffmail.com
457,Niloufer Hospital for Women & Children,"G-9, Ground Floor, New ICU Block, Niloufer Hospital for Women & Children,, Red Hills, Nampally, Hyderabad., Nampally, Hyderabad, Telangana",040–23314095 EXT-133 ,-  ,bloodbankniloufer@gmail.com
458,Civil Hospital Blood Bank,"Civil hospital blood bank, Dixit Wadi, Zilha Peth,, Jalgaon, Jalgaon, Maharashtra","9822771478, 9422290537, 9403384748 ",0257-2220989  ,chjbbjal@gmail.com
459,"Dhiraj General Blood Bank, Vadodara","Dhiraj Blood Bank, Dhiraj General Hospital Waghodia Road, At. Pipriya, Ta:-Waghodia,, VADODARA, Vadodara, Gujarat","9979304421, 02668-225264 ",-  ,dghmainoffice@yahoo.com
460,Blood Bank District Hospital Rewa,"State Highway 9 Chirahula Colony, Bichhiya, Rewa, Rewa , Rewa, Madhya Pradesh",9148853871 ,-  ,-
461,Blood Bank Sadar Hospital Ramgarh,"Blood Bank Sadar Hospital Ramgarh, Ramgarh, Ramgarh, Jharkhand",8051087079 ,-  ,bloodbankramgarh20@gmail.com
462,Poona Serological Institute Blood Bank,"C.T.S. No-592,3rd Floor,Dhanwantari Complex, Near Tarachand Hosp, Rasta Peth,, Pune, Pune, Maharashtra","9225507815,020-26133387/26141719 ",020-27472876  ,psibbpune@gmail.com
463,Blood Bank Hind Hospital,"Hind Blood Bank & Component Centre, Atariya,, Sitapur, Sitapur, Uttar Pradesh","9616577683,9454904883 ",-  ,-
464,Blood Bank Guru Tegh Bahadur Hospital,"G.T.B. Hospital, Shahdara, Delhi, North East, Delhi",9868399528 ,-  ,drpriyankagogoi@gmail.com
465,"Sainik (Military Hospital) Hospital, Dehradun","Army Canteen, Dehradun, Dehradun, Dehradun, Uttarakhand",9105601197 ,-  ,-
466,"Rastra Kavi Dinkar Blood Bank, District Hospital, Begusarai","Rashrtra Kavi Dinkar Blood Bank, Dist.Hospital, Begusarai,, Begusarai, Begusarai, Bihar","6243220072,9431208750 ",-  ,restrakavidinkarbbbegusarai@gmail.com
467,M/s. Samarth Blood Bank,"Premises situated at Bharti Hospital,  Campus, Saraipali, Dist. Mahasamund, Mahasamund, Mahasamund, Chhattisgarh",6264248807 ,-  ,pravinsahuji24@gmail.com
468,Nitte University Blood Bank,"Justice K.S. Hegde Charitable Hospial, Deraalatte, Mangalore, Dakshina Kannada, Karnataka","9845760054,824220447 ",-  ,principal.ngsmips@nitte.edu.in
469,"District Hospital, Sidhi","NH 75, Sidhi, Sidhi, Madhya Pradesh","Mob.9425889488, 9754011955, 07822–252207 ",-  ,-
470,B.R. Ambedkar Memorial Hospital Blood Bank Raipur,"Pt. JNM Medical College, Jail Road, Raipur, Raipur, Chhattisgarh",9826148884 ,-  ,modelbloodbankraipurcg@gmail.com
471,Deepak Memorial Hospital,"Opp. P.A.U Gate No: 1, Sarabha Nagar, Ludhiana, Ludhiana, Punjab","93563-99888, 8872420136, 0161-2454523 ",-  ,deepak_hospital@hotmail.com
472,Sarvodaya Hospital Blood Bank,"D-3 Kavi Nagar Industrial Area, Near Diamond Flyover, Ghaziabad, Ghaziabad, Uttar Pradesh",9891705808 ,-  ,bloodbanksarvodaya@gmail.com
473,Rashmi Blood bank,"Saheed Shibsankar Seba Samity,P.O.-Rajbati, Baburbag, Burdwan, Barddhaman, Purba Bardhaman, West Bengal",03422657251 ,03422656831  ,rbbbdn@gmail.com
474,Smt. Kapoorben Vasanji Lathiya Blood Bank,"Swami Vivekanand Road, Opposite Juhu airport, Vile Parle west, Mumbai, Mumbai, Maharashtra","9833914915,022-26119924/ 26267500 ",26185105  ,rinku.bhatia@nanavatihospital.org
475,Ramanagouda Hospital Blood Bank ,"2nd floor, CTS, No.4042/B17, Near Kathi Kalyan Mantap, Mudhol, Bagalkot, Karnataka","9448987785,8350281999 ",-  ,mahadevrhbb@gmail.com
476,Bharatratna Dr Babasaheb Ambedkar Mun. Gen. Hospital Blood Bank,"Bharatratna Dr Babasaheb Ambedkar Mun Gen Hospital , First Floor B wing ,Poiser,SV Road, Kandivali-W,, MUMBAI, Mumbai, Maharashtra",28647003/4 ,-  ,bloodbankbdba@gmail.com
477,Adarsh Blood Bank,"Office No. U.5, F3-6, CTS No.12373/26, 2nd Floor, Opp. Seven Hills Fly Over, Jalna Road, , Aurangabad, Aurangabad, Maharashtra","9595163163 ,040 -  6602163 / 2328362  ",-  ,"adarshbloodbank@gmail.com,"
478,Carmel Hospital,"Ashokapuram, Alwaye, Ernakulam, Ernakulam, Kerala","0484-2625346, 0484-2621314, 0484-2627734 ",-  ,carmelhospital@yahoo.co.in
479,Blood Bank JLNMCH Bhagalpur,"Mayaganj Tilkamanjhi, Bhagalpur, Bhagalpur, Bihar",9934456029 ,-  ,rbbjlnmch@gmail.com
480,Blood Bank Sadar Hospital Dumka,"Blood Bank, Sadar Hospital, Dumka, Dumka, Dumka, Jharkhand"," 7004043005, 7903056837 ",-  ,bloodbankdumka@gmail.com
481,"Regional Blood Bank, DMCH, Darbhanga","Regional Blood Bank, Darbhanga Surgery Building (Ground Floor) DMCH Campus,, Laheriasarai Darbhanga, Darbhanga, Bihar","9470003249,9431086397 ",-  ,dmchdarbhanga@gmail.com
482,N. M. Patel Blood Bank and Dr.A.C.Mapara Blood Comopent Center.Bilimoramora,"Blood Bank, Lions Club Billimora Charitable Foundation Managed by N.M. Patel Blood Bank,  2nd Floor, Shivdeep Complex, Near Sardar Market, Feeder Road, Talodh-Bilimora, Ta. Gandevi,, Bilimora, Navsari , Gujarat","9428020522, 9825145894, 02634-285913 ",-  ,nmpbbblm1991@gmail.com
483,"District Hospital, Dhar","Mandu Road, Dhar, Dhar, Madhya Pradesh","Mob: 9827223657, 07292–234933 ",-  ,dranilvrm@gmail.com
484,"Shraddhadeep Pathology Lab  & Blood Bank, Gandhinagar","Shraddhadeep Pathology Lab  & Blood Bank,   Shiv Complex , Plot no. 329, 1st Floor,  Sector-16,, Gandhinagar, Gandhinagar, Gujarat","93282 37138, 9824833440, 079-23222474 ",-  ,shraddhablood@gmail.com
485,Allahabad Nursing Home Association Charitable Blood Centre,"58B/46, Lal bhadur Shashtri Marg, Civil Line, Prayagraj, Prayagraj, Uttar Pradesh",9415289095 ,-  ,anhacbc2021@gmail.com
486,"Govt. Blood Bank, Area Hospital Kamareddy","Area Hospital, Station Road, Kamareddy-, Area Hospital, Station Road, Kamareddy-, Kamareddy, Kamareddy, Telangana",9885080272 ,-  ,bloodbankkmr@gmail.com
487,"IRCS Blood Bank,Motihari","Red Cross Society Building, Sadar Hospital road, Motihari,, Motihari, Purba Champaran, Bihar","9430276423, 7079933453, 9709631635 ",-  ,ircsbloodbankmotihari@gmail.com
488,Velankanni Matha Hospital Pvt. Ltd.,"Building No X/387 N, Thellakam, Kottayam, Kerala","0481-2790920, 0481-2792500 ",-  ,director@mathahospital.org
489,"Blood Bank, Primus Super Speciality Hospital","02, Chandragupta Marg, Lower Ground Floor, Chanakyapuri, New Delhi, South, Delhi","66206630, 66206640 ",-  ,mgarg1964@yahoo.co.in
490,"Smt. Sonalien A. Shah Blood Bank, Omkar Paramedical Trust, Botad","Blood Bank, Omkar Paramedical Charitable Trust Organised Smt. Sonaliben A.Shah Blood Bank,   2nd Floor, Patel Chamber,Paliad Road,  Botad, Dist: Botad, Bhavnagar, Bhavnagar, Gujarat","9227200789,9824861800,0278-255361/256099 ",-  ,omkarbloodbank@gmail.com
491,The King George Hospital Blood Bank,"Jagadamba Junction, Visakhapatnam, , Visakhapatnam, Visakhapatnam, Andhra Pradesh",0891-2564891 ,-  ,kgh_vsp@ap.nic.in
492,"Hemraj Blood Bank, Katwa S.D. Hospital","P.O. Katwa, Burdwan, Katwa  (Hemraj) S.D. Hospital, P.O. : Katwa, Dist - Burdwan, KATWA, Purba Bardhaman, West Bengal","9434387842,9933304056 ",-  ,sdh.ktwa@gmail.com
493,SNCM Chakraborty Nursing Home Blood Bank,"Debraj Complex, 3rd Floor, Dhanbad, Dhanbad, Jharkhand","0326-2303621, 9939900855 ",-  ,ranjansnh6@gmail.com
494,Government Hospital Tiruchendur,"Government Hospital, Tiruchendur, Kamarajar Salai, , Tiruchendur, Thoothukkudi, Tamil Nadu",7373056714 ,-  ,-
495,BBR MULTI SPECIALITY HOSPITAL BLOOD BANK ,"7-4-194, FEROZGUDA, BALANAGAR, Hyderabad, Medchal, Telangana","040-23773333,23772222 ",-  ,bbrbloodbank@gmail.com
496,"Krishna Hospital & Medical Research Centre, Blood Bank","Poona Banglore(NH4)Highway Near Debhewadi Road, Tal- Karad, , Satara, Satara, Maharashtra","9420463203,( 02164) 241456 ",(02164) 242170  ,khbloodbank@yahoo.com
497,"Sant Gadgebaba Blood Bank & Component Centre, Badnera","Opp.Shrihari hospital, Juni vasti(Old Town), Badnera,, Amravati, Amravati, Maharashtra","9730541713,0721-2580490, 2580455 ",0721-2580490  ,sopanblood@gmail.com
498,"Blood Bank, St. Stephens Hospital","Tis Hazari, Delhi, North, Delhi",23966021 ,-  ,sshbloodbank@gmail.com
499,"Blood Bank, DH, Siaha","NA, Saiha, Saiha, Mizoram",8794543553/9862919871 ,-  ,jvado2309@gmail.com
